train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
25,0,test,Instantaneous MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,28.3161,31.2661,59.3563,49.3681,57.3839,59.3229,transfer_from_25degC
25,0,test,Instantaneous MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,35.1294,39.4636,64.2067,58.9986,62.4987,64.1734,transfer_from_25degC
25,25,test,Filtered-feature MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,0.6263,0.7389,4.1486,1.3156,1.6289,1.6287,transfer_from_25degC
25,25,test,Filtered-feature MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,0.359,0.4719,3.1469,0.9528,1.379,-0.6577,transfer_from_25degC
25,25,test,Filtered-feature MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,0.4361,0.5794,4.2901,1.1536,1.7701,-0.919,transfer_from_25degC
25,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,26.5275,28.5655,46.2347,38.8312,40.7192,41.2177,transfer_from_25degC
25,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,23.7708,25.4264,42.5154,35.8972,38.6474,39.7175,transfer_from_25degC
25,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,30.5178,33.0897,49.1998,45.0345,46.7071,46.4509,transfer_from_25degC
25,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,37.0904,42.5135,79.9061,69.1078,77.763,79.9061,transfer_from_25degC
25,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,34.4298,38.7118,74.5446,61.7526,71.608,74.5031,transfer_from_25degC
25,0,test,Filtered-feature MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,39.2434,45.2494,80.0034,73.4365,78.42,80.0034,transfer_from_25degC
25,25,test,LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,5825.0,0.5539,0.6905,2.447,1.3105,1.7469,0.9297,transfer_from_25degC
25,25,test,LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,5825.0,0.3709,0.4956,2.8499,1.0387,1.498,-0.1681,transfer_from_25degC
25,25,test,LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,5825.0,0.52,0.6511,4.9238,1.2177,1.7223,0.1823,transfer_from_25degC
25,10,test,LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,5825.0,11.5147,13.4102,30.2934,22.7214,28.1454,-2.9211,transfer_from_25degC
25,10,test,LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,5825.0,11.6675,13.3918,30.7084,21.5218,24.9803,-2.7598,transfer_from_25degC
25,10,test,LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,5825.0,11.4748,13.3217,29.9831,23.8066,27.0758,-8.11,transfer_from_25degC
25,0,test,LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,5825.0,47.8898,51.1222,84.3494,77.2425,80.7182,-16.942,transfer_from_25degC
25,0,test,LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,5825.0,46.1528,49.2303,86.255,72.2527,79.3844,-16.8434,transfer_from_25degC
25,0,test,LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,5825.0,47.492,50.723,84.2028,75.3207,79.628,-16.8722,transfer_from_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,48769.0,1.044,1.2124,4.3035,2.2029,2.7719,3.39,transfer_from_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,48769.0,0.7238,0.9053,4.8179,1.7742,2.4283,0.8107,transfer_from_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,48769.0,0.8646,1.1052,6.927,2.1281,3.2054,-0.0752,transfer_from_25degC
25,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,48769.0,13.997,15.5666,33.8494,23.5758,25.6339,23.2844,transfer_from_25degC
25,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,48769.0,12.8472,14.256,29.1017,21.7931,24.1333,22.8798,transfer_from_25degC
25,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,48769.0,16.6958,18.6263,33.308,27.8921,29.7353,26.8729,transfer_from_25degC
25,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,48769.0,15.2073,18.1145,40.3581,32.5918,39.6859,40.2968,transfer_from_25degC
25,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,48769.0,13.6159,16.3193,38.9004,29.6884,37.7943,38.8222,transfer_from_25degC
25,0,test,CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,48769.0,17.3808,20.5541,41.0164,34.5712,39.9844,40.963,transfer_from_25degC
