train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
0,0,test,Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3361.0,1.8074,2.2089,6.555,4.2351,5.2593,1.7505,within_0degC
0,0,test,Distilled Tiny CNN-LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3361.0,1.5381,1.845,6.1116,3.4168,5.2341,4.2608,within_0degC
0,0,test,Filtered CNN-LSTM Teacher,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,50689.0,1.0832,1.1833,2.9315,2.0102,2.4427,2.1952,within_0degC
0,0,test,Filtered CNN-LSTM Teacher,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,50689.0,1.7598,2.1588,6.8497,4.4754,5.7145,0.038,within_0degC
0,0,test,Filtered CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,50689.0,0.7082,1.0107,3.8956,2.3891,3.1412,3.3143,within_0degC
0,0,test,Filtered Tiny CNN-LSTM Student,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3841.0,1.2258,1.6002,8.2004,3.2382,4.8946,8.2004,within_0degC
0,0,test,Filtered Tiny CNN-LSTM Student,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3841.0,1.9022,2.6943,9.6786,5.9101,8.2667,-0.8475,within_0degC
0,0,test,Filtered Tiny CNN-LSTM Student,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3841.0,1.1197,1.6786,9.4463,3.4926,5.8276,9.4304,within_0degC
0,0,test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3841.0,0.8859,1.0994,4.0025,1.9815,3.5644,1.1078,within_0degC
0,0,test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3841.0,1.0316,1.2108,3.5671,2.0365,2.7377,0.4582,within_0degC
0,0,test,Filtered Distilled Tiny CNN-LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3841.0,0.6253,0.9371,3.8616,2.2209,3.3487,1.7983,within_0degC
25,25,test,Instantaneous MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,1.3107,1.6465,13.8947,3.0842,4.0785,4.0785,transfer_from_25degC
25,25,test,Instantaneous MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,1.4027,1.8858,16.7613,3.6943,5.9012,1.4972,transfer_from_25degC
25,25,test,Instantaneous MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,1.8466,2.4267,25.5912,4.5601,7.6376,0.2793,transfer_from_25degC
25,10,test,Instantaneous MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,16.5178,18.7165,46.1348,31.3301,34.3139,34.9217,transfer_from_25degC
25,10,test,Instantaneous MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,14.4388,16.4137,40.1504,28.3752,32.1073,33.567,transfer_from_25degC
25,10,test,Instantaneous MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,21.1365,23.4737,46.4683,37.148,40.9776,41.8399,transfer_from_25degC
25,0,test,Instantaneous MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,32.0057,35.7754,63.198,54.5342,61.7933,63.198,transfer_from_25degC
25,0,test,Instantaneous MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,28.3161,31.2661,59.3563,49.3681,57.3839,59.3229,transfer_from_25degC
25,0,test,Instantaneous MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,35.1294,39.4636,64.2067,58.9986,62.4987,64.1734,transfer_from_25degC
25,25,test,Filtered-feature MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,0.6263,0.7389,4.1486,1.3156,1.6289,1.6287,transfer_from_25degC
25,25,test,Filtered-feature MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,0.359,0.4719,3.1469,0.9528,1.379,-0.6577,transfer_from_25degC
25,25,test,Filtered-feature MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,0.4361,0.5794,4.2901,1.1536,1.7701,-0.919,transfer_from_25degC
25,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,26.5275,28.5655,46.2347,38.8312,40.7192,41.2177,transfer_from_25degC
25,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,23.7708,25.4264,42.5154,35.8972,38.6474,39.7175,transfer_from_25degC
25,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,30.5178,33.0897,49.1998,45.0345,46.7071,46.4509,transfer_from_25degC
25,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,37.0904,42.5135,79.9061,69.1078,77.763,79.9061,transfer_from_25degC
